scenario_name,replicate_id,c_index,duration_sec,ghost_estimator,survival_model,error,variable,relevance_score,relevance_rank
Linear_Uncorr_RSF_RFGhost,22,0.7788842078386314,0.7170705795288086,rf,rsf,,X2,1243.4926567828807,2
Linear_Uncorr_RSF_RFGhost,22,0.7788842078386314,0.7170705795288086,rf,rsf,,X3,941.3532647344833,3
Linear_Uncorr_RSF_RFGhost,22,0.7788842078386314,0.7170705795288086,rf,rsf,,X4,26.087403504137484,5
Linear_Uncorr_RSF_RFGhost,22,0.7788842078386314,0.7170705795288086,rf,rsf,,X5,36.19264589901706,4
Linear_Uncorr_RSF_RFGhost,23,0.8143654452802718,0.7682960033416748,rf,rsf,,X1,1759.817915835721,3
Linear_Uncorr_RSF_RFGhost,23,0.8143654452802718,0.7682960033416748,rf,rsf,,X2,2111.904662036876,2
Linear_Uncorr_RSF_RFGhost,23,0.8143654452802718,0.7682960033416748,rf,rsf,,X3,2152.6100127269256,1
Linear_Uncorr_RSF_RFGhost,23,0.8143654452802718,0.7682960033416748,rf,rsf,,X4,22.45358008013959,5
Linear_Uncorr_RSF_RFGhost,23,0.8143654452802718,0.7682960033416748,rf,rsf,,X5,59.90858076446563,4
Linear_Uncorr_RSF_RFGhost,24,0.8190045248868778,0.7599215507507324,rf,rsf,,X1,1570.472742781087,1
Linear_Uncorr_RSF_RFGhost,24,0.8190045248868778,0.7599215507507324,rf,rsf,,X2,1456.3053914563952,2
Linear_Uncorr_RSF_RFGhost,24,0.8190045248868778,0.7599215507507324,rf,rsf,,X3,845.0063374640915,3
Linear_Uncorr_RSF_RFGhost,24,0.8190045248868778,0.7599215507507324,rf,rsf,,X4,43.43247788042161,4
Linear_Uncorr_RSF_RFGhost,24,0.8190045248868778,0.7599215507507324,rf,rsf,,X5,17.646712339675425,5
Linear_Uncorr_RSF_RFGhost,25,0.800375704445836,0.7139208316802979,rf,rsf,,X1,1495.3848479205635,2
Linear_Uncorr_RSF_RFGhost,25,0.800375704445836,0.7139208316802979,rf,rsf,,X2,2050.3950740538885,1
Linear_Uncorr_RSF_RFGhost,25,0.800375704445836,0.7139208316802979,rf,rsf,,X3,1492.4121891339548,3
Linear_Uncorr_RSF_RFGhost,25,0.800375704445836,0.7139208316802979,rf,rsf,,X4,17.989593595689335,4
Linear_Uncorr_RSF_RFGhost,25,0.800375704445836,0.7139208316802979,rf,rsf,,X5,8.551988958971343,5
Linear_Uncorr_RSF_RFGhost,26,0.7778872198965772,0.7163193225860596,rf,rsf,,X1,1421.2342869988554,2
